question,pororo_ner
푸들이나 비숑 프리제처럼 개 알레르기 반응을 거의 일으키지 않는 동물 부류는 무엇인가?,"[('푸들', 'ANIMAL'), ('이나', 'O'), (' ', 'O'), ('비숑 프리제', 'ANIMAL'), ('처럼', 'O'), (' ', 'O'), ('개', 'ANIMAL'), (' ', 'O'), ('알레르기', 'DISEASE'), (' ', 'O'), ('반응을', 'O'), (' ', 'O'), ('거의', 'O'), (' ', 'O'), ('일으키지', 'O'), (' ', 'O'), ('않는', 'O'), (' ', 'O'), ('동물', 'O'), (' ', 'O'), ('부류는', 'O'), (' ', 'O'), ('무엇인가?', 'O')]"
프리타코사우루스의 위석은 모래주머니에서 발견되기도 하지만 가끔 어디에서 발견되나?,"[('프리타코사우루스', 'ANIMAL'), ('의', 'O'), (' ', 'O'), ('위석은', 'O'), (' ', 'O'), ('모래주머니에서', 'O'), (' ', 'O'), ('발견되기도', 'O'), (' ', 'O'), ('하지만', 'O'), (' ', 'O'), ('가끔', 'O'), (' ', 'O'), ('어디에서', 'O'), (' ', 'O'), ('발견되나?', 'O')]"
이길여가 환자들을 놀라지 않게 하기 위해 가슴에 품고 다녔던 물건은?,"[('이길여', 'PERSON'), ('가', 'O'), (' ', 'O'), ('환자', 'OCCUPATION'), ('들을', 'O'), (' ', 'O'), ('놀라지', 'O'), (' ', 'O'), ('않게', 'O'), (' ', 'O'), ('하기', 'O'), (' ', 'O'), ('위해', 'O'), (' ', 'O'), ('가슴', 'ANIMAL'), ('에', 'O'), (' ', 'O'), ('품고', 'O'), (' ', 'O'), ('다녔던', 'O'), (' ', 'O'), ('물건은?', 'O')]"
고롯케(코롯케)는 원래 어느 나라 음식인가?,"[('고롯케', 'CIVILIZATION'), ('(', 'O'), ('코롯케', 'CIVILIZATION'), (')는', 'O'), (' ', 'O'), ('원래', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('나라', 'O'), (' ', 'O'), ('음식인가?', 'O')]"
케냐타가 3번째 혼인을 치른 것은 몇년도인가?,"[('케냐타', 'PERSON'), ('가', 'O'), (' ', 'O'), ('3번째', 'QUANTITY'), (' ', 'O'), ('혼인을', 'O'), (' ', 'O'), ('치른', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('몇년도인가?', 'O')]"
큰긴코박쥐가 가루받이를 돕는 식물은?,"[('큰긴코박쥐', 'ANIMAL'), ('가', 'O'), (' ', 'O'), ('가루받이를', 'O'), (' ', 'O'), ('돕는', 'O'), (' ', 'O'), ('식물은?', 'O')]"
리우네자네이루에서 개최된 세계선수권대회의 준결승전에서 크르팔레크를 상대로 승리를 거둔 선수는?,"[('리우네자네이루', 'LOCATION'), ('에서', 'O'), (' ', 'O'), ('개최된', 'O'), (' ', 'O'), ('세계선수권대회', 'EVENT'), ('의', 'O'), (' ', 'O'), ('준결승전', 'EVENT'), ('에서', 'O'), (' ', 'O'), ('크르팔레크', 'PERSON'), ('를', 'O'), (' ', 'O'), ('상대로', 'O'), (' ', 'O'), ('승리를', 'O'), (' ', 'O'), ('거둔', 'O'), (' ', 'O'), ('선수', 'OCCUPATION'), ('는?', 'O')]"
부상을 입어 힌스키에 의해 대체 된 선수는?,"[('부상을', 'O'), (' ', 'O'), ('입어', 'O'), (' ', 'O'), ('힌스키', 'PERSON'), ('에', 'O'), (' ', 'O'), ('의해', 'O'), (' ', 'O'), ('대체', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('선수', 'OCCUPATION'), ('는?', 'O')]"
만주보민회의 주활동지는?,"[('만주보민회의', 'ORGANIZATION'), (' ', 'O'), ('주활동지는?', 'O')]"
듀이가 첫 번째로 뉴욕 주지사가 된 해는?,"[('듀이', 'PERSON'), ('가', 'O'), (' ', 'O'), ('첫 번째', 'QUANTITY'), ('로', 'O'), (' ', 'O'), ('뉴욕', 'CITY'), (' ', 'O'), ('주지사', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('해는?', 'O')]"
보로메오에게 특무성 장관직을 맡긴 인물이 교황으로 선출된 년도는?,"[('보로메오', 'PERSON'), ('에게', 'O'), (' ', 'O'), ('특무성', 'ORGANIZATION'), (' ', 'O'), ('장관직', 'CIVILIZATION'), ('을', 'O'), (' ', 'O'), ('맡긴', 'O'), (' ', 'O'), ('인물이', 'O'), (' ', 'O'), ('교황', 'CIVILIZATION'), ('으로', 'O'), (' ', 'O'), ('선출된', 'O'), (' ', 'O'), ('년도는?', 'O')]"
『금쇄동기』에서 어떤 유형의 문학 작품을 읽을 수 있나?,"[('『', 'O'), ('금쇄동기', 'ARTIFACT'), ('』에서', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('유형의', 'O'), (' ', 'O'), ('문학', 'STUDY_FIELD'), (' ', 'O'), ('작품을', 'O'), (' ', 'O'), ('읽을', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있나?', 'O')]"
비트겐슈타인의 누나의 피아노 선생님은 누구인가?,"[('비트겐슈타인', 'PERSON'), ('의', 'O'), (' ', 'O'), ('누나', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('피아노', 'ARTIFACT'), (' ', 'O'), ('선생님', 'OCCUPATION'), ('은', 'O'), (' ', 'O'), ('누구인가?', 'O')]"
신토마스 주의가 한계점을 말한 대상은?,"[('신토마스 주의', 'THEORY'), ('가', 'O'), (' ', 'O'), ('한계점을', 'O'), (' ', 'O'), ('말한', 'O'), (' ', 'O'), ('대상은?', 'O')]"
러셀은 1889년에 파리 박람회를 방문하여 어느 곳을 다녀왔는가?,"[('러셀', 'PERSON'), ('은', 'O'), (' ', 'O'), ('1889년', 'DATE'), ('에', 'O'), (' ', 'O'), ('파리 박람회', 'EVENT'), ('를', 'O'), (' ', 'O'), ('방문하여', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('곳을', 'O'), (' ', 'O'), ('다녀왔는가?', 'O')]"
오늘날 역사적인 장소로 알려진 곳은?,"[('오늘날', 'O'), (' ', 'O'), ('역사적인', 'O'), (' ', 'O'), ('장소로', 'O'), (' ', 'O'), ('알려진', 'O'), (' ', 'O'), ('곳은?', 'O')]"
언필드 문화에서 낫은 무엇과 비슷하게 생겼나요?,"[('언필드', 'LOCATION'), (' ', 'O'), ('문화에서', 'O'), (' ', 'O'), ('낫', 'ARTIFACT'), ('은', 'O'), (' ', 'O'), ('무엇과', 'O'), (' ', 'O'), ('비슷하게', 'O'), (' ', 'O'), ('생겼나요?', 'O')]"
음낭의 또 다른 명칭은?,"[('음낭', 'TERM'), ('의', 'O'), (' ', 'O'), ('또', 'O'), (' ', 'O'), ('다른', 'O'), (' ', 'O'), ('명칭은?', 'O')]"
삿포로 올림픽이 열렸을 때 어디를 주요 회장으로 사용했나?,"[('삿포로 올림픽', 'EVENT'), ('이', 'O'), (' ', 'O'), ('열렸을', 'O'), (' ', 'O'), ('때', 'O'), (' ', 'O'), ('어디를', 'O'), (' ', 'O'), ('주요', 'O'), (' ', 'O'), ('회장', 'OCCUPATION'), ('으로', 'O'), (' ', 'O'), ('사용했나?', 'O')]"
줄리안 어산지가 IS의 배후 인물이라고 주장한 사람은?,"[('줄리안 어산지', 'PERSON'), ('가', 'O'), (' ', 'O'), ('IS', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('배후', 'O'), (' ', 'O'), ('인물이라고', 'O'), (' ', 'O'), ('주장한', 'O'), (' ', 'O'), ('사람은?', 'O')]"
대통령 임기가 끝나고 배우가 되려는 사람은?,"[('대통령', 'CIVILIZATION'), (' ', 'O'), ('임기가', 'O'), (' ', 'O'), ('끝나고', 'O'), (' ', 'O'), ('배우', 'OCCUPATION'), ('가', 'O'), (' ', 'O'), ('되려는', 'O'), (' ', 'O'), ('사람은?', 'O')]"
조작설의 근거가 되는 물건은?,"[('조작설의', 'O'), (' ', 'O'), ('근거가', 'O'), (' ', 'O'), ('되는', 'O'), (' ', 'O'), ('물건은?', 'O')]"
암컷 애애미 무늬의 색은?,"[('암컷', 'O'), (' ', 'O'), ('애애미 무늬', 'TERM'), ('의', 'O'), (' ', 'O'), ('색은?', 'O')]"
외부에서 성곽으로 향하는 시계를 차단하고 있는 것은?,"[('외부에서', 'O'), (' ', 'O'), ('성곽으로', 'O'), (' ', 'O'), ('향하는', 'O'), (' ', 'O'), ('시계를', 'O'), (' ', 'O'), ('차단하고', 'O'), (' ', 'O'), ('있는', 'O'), (' ', 'O'), ('것은?', 'O')]"
차티스가르 지역의 우익 민병대의 행동은 헌법에 위반되는 행위라고 인도 대법원이 선고한 날은?,"[('차티스가르', 'LOCATION'), (' ', 'O'), ('지역의', 'O'), (' ', 'O'), ('우익', 'O'), (' ', 'O'), ('민병대의', 'O'), (' ', 'O'), ('행동은', 'O'), (' ', 'O'), ('헌법', 'CIVILIZATION'), ('에', 'O'), (' ', 'O'), ('위반되는', 'O'), (' ', 'O'), ('행위라고', 'O'), (' ', 'O'), ('인도 대법원', 'ORGANIZATION'), ('이', 'O'), (' ', 'O'), ('선고한', 'O'), (' ', 'O'), ('날은?', 'O')]"
일본에서 검찰심사원으로 활동한 경력이 있는 인원 수는?,"[('일본', 'COUNTRY'), ('에서', 'O'), (' ', 'O'), ('검찰심사원', 'CIVILIZATION'), ('으로', 'O'), (' ', 'O'), ('활동한', 'O'), (' ', 'O'), ('경력이', 'O'), (' ', 'O'), ('있는', 'O'), (' ', 'O'), ('인원', 'O'), (' ', 'O'), ('수는?', 'O')]"
팔랑크스는 누구의 동방 원정에서도 효과적으로 쓰였나요?,"[('팔랑크스', 'PERSON'), ('는', 'O'), (' ', 'O'), ('누구의', 'O'), (' ', 'O'), ('동방', 'LOCATION'), (' ', 'O'), ('원정에서도', 'O'), (' ', 'O'), ('효과적으로', 'O'), (' ', 'O'), ('쓰였나요?', 'O')]"
1956년에 워너가 사기친 인물의 이름은?,"[('1956년', 'DATE'), ('에', 'O'), (' ', 'O'), ('워너', 'PERSON'), ('가', 'O'), (' ', 'O'), ('사기친', 'O'), (' ', 'O'), ('인물의', 'O'), (' ', 'O'), ('이름은?', 'O')]"
가혹한 노동에 대해 국제적으로 규제하고 있는 단체는?,"[('가혹한', 'O'), (' ', 'O'), ('노동에', 'O'), (' ', 'O'), ('대해', 'O'), (' ', 'O'), ('국제적으로', 'O'), (' ', 'O'), ('규제하고', 'O'), (' ', 'O'), ('있는', 'O'), (' ', 'O'), ('단체는?', 'O')]"
행정을 13도로 지정하고 황제의 권위를 높인 인물은?,"[('행정을', 'O'), (' ', 'O'), ('13도', 'QUANTITY'), ('로', 'O'), (' ', 'O'), ('지정하고', 'O'), (' ', 'O'), ('황제', 'OCCUPATION'), ('의', 'O'), (' ', 'O'), ('권위를', 'O'), (' ', 'O'), ('높인', 'O'), (' ', 'O'), ('인물은?', 'O')]"
피터와 로렌바움이 하이든의 머리를 대신해 귀족에게 준 것은?,"[('피터', 'PERSON'), ('와', 'O'), (' ', 'O'), ('로렌바움', 'PERSON'), ('이', 'O'), (' ', 'O'), ('하이든', 'PERSON'), ('의', 'O'), (' ', 'O'), ('머리', 'ANIMAL'), ('를', 'O'), (' ', 'O'), ('대신해', 'O'), (' ', 'O'), ('귀족', 'CIVILIZATION'), ('에게', 'O'), (' ', 'O'), ('준', 'O'), (' ', 'O'), ('것은?', 'O')]"
셰이크볼의 속도는 어느 정도 인가?,"[('셰이크볼', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('속도는', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('정도', 'O'), (' ', 'O'), ('인가?', 'O')]"
"질량이 비슷한 2개의 별이 쌍성계를 이루고 있을 때, 이 쌍성계의 질량 중심은 어디인가?","[('질량이', 'O'), (' ', 'O'), ('비슷한', 'O'), (' ', 'O'), ('2개', 'QUANTITY'), ('의', 'O'), (' ', 'O'), ('별이', 'O'), (' ', 'O'), ('쌍성계를', 'O'), (' ', 'O'), ('이루고', 'O'), (' ', 'O'), ('있을', 'O'), (' ', 'O'), ('때,', 'O'), (' ', 'O'), ('이', 'O'), (' ', 'O'), ('쌍성계의', 'O'), (' ', 'O'), ('질량', 'O'), (' ', 'O'), ('중심은', 'O'), (' ', 'O'), ('어디인가?', 'O')]"
겨울에 아시아 대륙 내부에서 나타나는 고기압부의 중심이 되는 지역은 어디인가?,"[('겨울', 'DATE'), ('에', 'O'), (' ', 'O'), ('아시아', 'LOCATION'), (' ', 'O'), ('대륙', 'O'), (' ', 'O'), ('내부에서', 'O'), (' ', 'O'), ('나타나는', 'O'), (' ', 'O'), ('고기압부의', 'O'), (' ', 'O'), ('중심이', 'O'), (' ', 'O'), ('되는', 'O'), (' ', 'O'), ('지역은', 'O'), (' ', 'O'), ('어디인가?', 'O')]"
영국은 어떤 이유로 공해에서 바다로 유입되는 모든 선박을 막았나?,"[('영국', 'COUNTRY'), ('은', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('이유로', 'O'), (' ', 'O'), ('공해에서', 'O'), (' ', 'O'), ('바다로', 'O'), (' ', 'O'), ('유입되는', 'O'), (' ', 'O'), ('모든', 'O'), (' ', 'O'), ('선박', 'ARTIFACT'), ('을', 'O'), (' ', 'O'), ('막았나?', 'O')]"
모투부가 1959년에 다시 방문한 곳은?,"[('모투부', 'ORGANIZATION'), ('가', 'O'), (' ', 'O'), ('1959년', 'DATE'), ('에', 'O'), (' ', 'O'), ('다시', 'O'), (' ', 'O'), ('방문한', 'O'), (' ', 'O'), ('곳은?', 'O')]"
당나라는 고구려의 신성을 언제 점령했는가?,"[('당나라', 'DATE'), ('는', 'O'), (' ', 'O'), ('고구려', 'DATE'), ('의', 'O'), (' ', 'O'), ('신성을', 'O'), (' ', 'O'), ('언제', 'O'), (' ', 'O'), ('점령했는가?', 'O')]"
김집이 몸이 아파서 내려놓은 관직은?,"[('김집', 'PERSON'), ('이', 'O'), (' ', 'O'), ('몸', 'ANIMAL'), ('이', 'O'), (' ', 'O'), ('아파서', 'O'), (' ', 'O'), ('내려놓은', 'O'), (' ', 'O'), ('관직은?', 'O')]"
봉헌 생활회를 감독하고 관리하는 기관은?,"[('봉헌 생활회', 'ORGANIZATION'), ('를', 'O'), (' ', 'O'), ('감독하고', 'O'), (' ', 'O'), ('관리하는', 'O'), (' ', 'O'), ('기관은?', 'O')]"
아제르 상귀니스를 아람어로 하면?,"[('아제르', 'LOCATION'), (' ', 'O'), ('상귀니스를', 'O'), (' ', 'O'), ('아람어', 'CIVILIZATION'), ('로', 'O'), (' ', 'O'), ('하면?', 'O')]"
기원전 227년에 군사혁명을 일으켜 에포로스를 살해한 인물은?,"[('기원전 227년', 'DATE'), ('에', 'O'), (' ', 'O'), ('군사혁명을', 'O'), (' ', 'O'), ('일으켜', 'O'), (' ', 'O'), ('에포로스', 'PERSON'), ('를', 'O'), (' ', 'O'), ('살해한', 'O'), (' ', 'O'), ('인물은?', 'O')]"
호출에 의해 동적인 상태로 변환되는 소프트웨어 구성요소는?,"[('호출에', 'O'), (' ', 'O'), ('의해', 'O'), (' ', 'O'), ('동적인', 'O'), (' ', 'O'), ('상태로', 'O'), (' ', 'O'), ('변환되는', 'O'), (' ', 'O'), ('소프트웨어', 'O'), (' ', 'O'), ('구성요소는?', 'O')]"
합당한 이치에 따라 비현실적인 개체가 등장하는 것은 무엇인가?,"[('합당한', 'O'), (' ', 'O'), ('이치에', 'O'), (' ', 'O'), ('따라', 'O'), (' ', 'O'), ('비현실적인', 'O'), (' ', 'O'), ('개체가', 'O'), (' ', 'O'), ('등장하는', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('무엇인가?', 'O')]"
스코틀랜드 계몽주의자들은 개인과 사회가 함께 발전할 수 있는 것은 어디에서 덕을 기를 때라고 믿었나?,"[('스코틀랜드', 'COUNTRY'), (' ', 'O'), ('계몽주의자', 'CIVILIZATION'), ('들은', 'O'), (' ', 'O'), ('개인과', 'O'), (' ', 'O'), ('사회가', 'O'), (' ', 'O'), ('함께', 'O'), (' ', 'O'), ('발전할', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있는', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('어디에서', 'O'), (' ', 'O'), ('덕을', 'O'), (' ', 'O'), ('기를', 'O'), (' ', 'O'), ('때라고', 'O'), (' ', 'O'), ('믿었나?', 'O')]"
요나미네에게는 야쿠자의 어떤 행동이 트라우마로 남았는가?,"[('요나미네', 'PERSON'), ('에게는', 'O'), (' ', 'O'), ('야쿠자', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('행동이', 'O'), (' ', 'O'), ('트라우마', 'TERM'), ('로', 'O'), (' ', 'O'), ('남았는가?', 'O')]"
법치국가에서 국민의 처벌 근거를 증명해야하는 기관은?,"[('법치국가에서', 'O'), (' ', 'O'), ('국민', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('처벌', 'O'), (' ', 'O'), ('근거를', 'O'), (' ', 'O'), ('증명해야하는', 'O'), (' ', 'O'), ('기관은?', 'O')]"
8명 이상의 노동자를 고용하여 영리활동을 하는 경제조직은 언제 이후부터 출현하였나?,"[('8명 이상', 'QUANTITY'), ('의', 'O'), (' ', 'O'), ('노동자', 'OCCUPATION'), ('를', 'O'), (' ', 'O'), ('고용하여', 'O'), (' ', 'O'), ('영리활동을', 'O'), (' ', 'O'), ('하는', 'O'), (' ', 'O'), ('경제조직은', 'O'), (' ', 'O'), ('언제', 'O'), (' ', 'O'), ('이후부터', 'O'), (' ', 'O'), ('출현하였나?', 'O')]"
잔류 러시아인이 러시아 빵을 판매한 지역은?,"[('잔류', 'O'), (' ', 'O'), ('러시아인', 'CIVILIZATION'), ('이', 'O'), (' ', 'O'), ('러시아', 'COUNTRY'), (' ', 'O'), ('빵', 'CIVILIZATION'), ('을', 'O'), (' ', 'O'), ('판매한', 'O'), (' ', 'O'), ('지역은?', 'O')]"
1895년에 서재필이 숨어있던 곳은?,"[('1895년', 'DATE'), ('에', 'O'), (' ', 'O'), ('서재필', 'PERSON'), ('이', 'O'), (' ', 'O'), ('숨어있던', 'O'), (' ', 'O'), ('곳은?', 'O')]"
철도공으로써 받은 첫 급여로 파브르는 무엇을 구매하였나?,"[('철도공', 'CIVILIZATION'), ('으로써', 'O'), (' ', 'O'), ('받은', 'O'), (' ', 'O'), ('첫', 'O'), (' ', 'O'), ('급여로', 'O'), (' ', 'O'), ('파브르', 'PERSON'), ('는', 'O'), (' ', 'O'), ('무엇을', 'O'), (' ', 'O'), ('구매하였나?', 'O')]"
모린의 남자친구가 있는 곳은?,"[('모린', 'PERSON'), ('의', 'O'), (' ', 'O'), ('남자친구', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('있는', 'O'), (' ', 'O'), ('곳은?', 'O')]"
반야월이 어디로 향하던 중에 농부 부부처럼 보이는 남녀의 이별 장면을 보게 되었나?,"[('반야월', 'PERSON'), ('이', 'O'), (' ', 'O'), ('어디로', 'O'), (' ', 'O'), ('향하던', 'O'), (' ', 'O'), ('중에', 'O'), (' ', 'O'), ('농부', 'OCCUPATION'), (' ', 'O'), ('부부', 'CIVILIZATION'), ('처럼', 'O'), (' ', 'O'), ('보이는', 'O'), (' ', 'O'), ('남녀의', 'O'), (' ', 'O'), ('이별', 'O'), (' ', 'O'), ('장면을', 'O'), (' ', 'O'), ('보게', 'O'), (' ', 'O'), ('되었나?', 'O')]"
프로비던스 건담을 터뜨린 것은 무엇인가?,"[('프로비던스 건담', 'ARTIFACT'), ('을', 'O'), (' ', 'O'), ('터뜨린', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('무엇인가?', 'O')]"
남진과 함께 대중가요의 발전 원인이 된 사람은?,"[('남진', 'PERSON'), ('과', 'O'), (' ', 'O'), ('함께', 'O'), (' ', 'O'), ('대중가요의', 'O'), (' ', 'O'), ('발전', 'O'), (' ', 'O'), ('원인이', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('사람은?', 'O')]"
오다와라 역 11번 타는곳에 서는 열차는 몇 량인가?,"[('오다와라 역', 'LOCATION'), (' ', 'O'), ('11번', 'QUANTITY'), (' ', 'O'), ('타는곳에', 'O'), (' ', 'O'), ('서는', 'O'), (' ', 'O'), ('열차', 'ARTIFACT'), ('는', 'O'), (' ', 'O'), ('몇', 'O'), (' ', 'O'), ('량인가?', 'O')]"
궁예가 석총을 살인할 때 사용한 무기는?,"[('궁예', 'PERSON'), ('가', 'O'), (' ', 'O'), ('석총', 'ARTIFACT'), ('을', 'O'), (' ', 'O'), ('살인할', 'O'), (' ', 'O'), ('때', 'O'), (' ', 'O'), ('사용한', 'O'), (' ', 'O'), ('무기는?', 'O')]"
영명사는 어떤 사건으로 인해 소실되었나?,"[('영명사', 'ARTIFACT'), ('는', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('사건으로', 'O'), (' ', 'O'), ('인해', 'O'), (' ', 'O'), ('소실되었나?', 'O')]"
1970년대 여성운동가들이 차별받는 여성을 비유한 대상은?,"[('1970년대', 'DATE'), (' ', 'O'), ('여성운동가', 'CIVILIZATION'), ('들이', 'O'), (' ', 'O'), ('차별받는', 'O'), (' ', 'O'), ('여성을', 'O'), (' ', 'O'), ('비유한', 'O'), (' ', 'O'), ('대상은?', 'O')]"
1997년 일본 시리즈 우승팀은?,"[('1997년', 'DATE'), (' ', 'O'), ('일본', 'COUNTRY'), (' ', 'O'), ('시리즈', 'O'), (' ', 'O'), ('우승팀은?', 'O')]"
양회와 강절에서 산서시들과 경쟁을 한 집단은?,"[('양회', 'EVENT'), ('와', 'O'), (' ', 'O'), ('강절', 'EVENT'), ('에서', 'O'), (' ', 'O'), ('산서시', 'CIVILIZATION'), ('들과', 'O'), (' ', 'O'), ('경쟁을', 'O'), (' ', 'O'), ('한', 'O'), (' ', 'O'), ('집단은?', 'O')]"
옛 대한제국의 황제 집안과 관련된 직무를 맡은 관청을 무엇이라 부르는가?,"[('옛', 'O'), (' ', 'O'), ('대한제국', 'COUNTRY'), ('의', 'O'), (' ', 'O'), ('황제', 'OCCUPATION'), (' ', 'O'), ('집안과', 'O'), (' ', 'O'), ('관련된', 'O'), (' ', 'O'), ('직무를', 'O'), (' ', 'O'), ('맡은', 'O'), (' ', 'O'), ('관청을', 'O'), (' ', 'O'), ('무엇이라', 'O'), (' ', 'O'), ('부르는가?', 'O')]"
메디아인이 자그로스 산맥에 정착을 시작한 시기는 철기 시대 제 몇 기인가?,"[('메디아인', 'CIVILIZATION'), ('이', 'O'), (' ', 'O'), ('자그로스 산맥', 'LOCATION'), ('에', 'O'), (' ', 'O'), ('정착을', 'O'), (' ', 'O'), ('시작한', 'O'), (' ', 'O'), ('시기는', 'O'), (' ', 'O'), ('철기 시대', 'DATE'), (' ', 'O'), ('제', 'O'), (' ', 'O'), ('몇', 'O'), (' ', 'O'), ('기인가?', 'O')]"
페뷔스가 에스메랄다를 변호하지 않은 것은 누구 때문인가?,"[('페뷔스', 'PERSON'), ('가', 'O'), (' ', 'O'), ('에스메랄다', 'PERSON'), ('를', 'O'), (' ', 'O'), ('변호하지', 'O'), (' ', 'O'), ('않은', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('누구', 'O'), (' ', 'O'), ('때문인가?', 'O')]"
피터 클리포드가 마야단의 시골이 공격받고 있음을 알린 날은?,"[('피터 클리포드', 'PERSON'), ('가', 'O'), (' ', 'O'), ('마야단', 'LOCATION'), ('의', 'O'), (' ', 'O'), ('시골이', 'O'), (' ', 'O'), ('공격받고', 'O'), (' ', 'O'), ('있음을', 'O'), (' ', 'O'), ('알린', 'O'), (' ', 'O'), ('날은?', 'O')]"
강재구 소령을 살해한 무기는?,"[('강재구', 'PERSON'), (' ', 'O'), ('소령', 'CIVILIZATION'), ('을', 'O'), (' ', 'O'), ('살해한', 'O'), (' ', 'O'), ('무기는?', 'O')]"
배우 문예봉이 여주인공으로 활약한 영화는 무엇인가?,"[('배우', 'OCCUPATION'), (' ', 'O'), ('문예봉', 'PERSON'), ('이', 'O'), (' ', 'O'), ('여', 'O'), ('주인공', 'CIVILIZATION'), ('으로', 'O'), (' ', 'O'), ('활약한', 'O'), (' ', 'O'), ('영화는', 'O'), (' ', 'O'), ('무엇인가?', 'O')]"
레닌은 누가 정권을 잡아야한다고 생각했나?,"[('레닌', 'PERSON'), ('은', 'O'), (' ', 'O'), ('누가', 'O'), (' ', 'O'), ('정권을', 'O'), (' ', 'O'), ('잡아야한다고', 'O'), (' ', 'O'), ('생각했나?', 'O')]"
견인상태에서 사격상태가 되는데 시간이 많이 소요되는 것은?,"[('견인상태에서', 'O'), (' ', 'O'), ('사격상태가', 'O'), (' ', 'O'), ('되는데', 'O'), (' ', 'O'), ('시간이', 'O'), (' ', 'O'), ('많이', 'O'), (' ', 'O'), ('소요되는', 'O'), (' ', 'O'), ('것은?', 'O')]"
희망의 당에게 자신의 당과 연합할 것을 제안한 인물은?,"[('희망의 당', 'ORGANIZATION'), ('에게', 'O'), (' ', 'O'), ('자신의', 'O'), (' ', 'O'), ('당과', 'O'), (' ', 'O'), ('연합할', 'O'), (' ', 'O'), ('것을', 'O'), (' ', 'O'), ('제안한', 'O'), (' ', 'O'), ('인물은?', 'O')]"
헨리 모건소가 오스카 스트라우스와 같은 직위를 받은 것은 몇 년인가?,"[('헨리 모건소', 'PERSON'), ('가', 'O'), (' ', 'O'), ('오스카 스트라우스', 'PERSON'), ('와', 'O'), (' ', 'O'), ('같은', 'O'), (' ', 'O'), ('직위를', 'O'), (' ', 'O'), ('받은', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('몇', 'O'), (' ', 'O'), ('년인가?', 'O')]"
지구와 화성만한 천체의 충돌로 만들어진 위성은?,"[('지구', 'LOCATION'), ('와', 'O'), (' ', 'O'), ('화성', 'LOCATION'), ('만한', 'O'), (' ', 'O'), ('천체의', 'O'), (' ', 'O'), ('충돌로', 'O'), (' ', 'O'), ('만들어진', 'O'), (' ', 'O'), ('위성', 'TERM'), ('은?', 'O')]"
자격 없는 대통령을 대신하여 부통령이 대통령 임기를 수행하도록 하는 내용은 미국 헌법의 어떤 부분에 나와있는가?,"[('자격', 'O'), (' ', 'O'), ('없는', 'O'), (' ', 'O'), ('대통령', 'CIVILIZATION'), ('을', 'O'), (' ', 'O'), ('대신하여', 'O'), (' ', 'O'), ('부통령', 'OCCUPATION'), ('이', 'O'), (' ', 'O'), ('대통령', 'CIVILIZATION'), (' ', 'O'), ('임기를', 'O'), (' ', 'O'), ('수행하도록', 'O'), (' ', 'O'), ('하는', 'O'), (' ', 'O'), ('내용은', 'O'), (' ', 'O'), ('미국', 'COUNTRY'), (' ', 'O'), ('헌법', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('부분에', 'O'), (' ', 'O'), ('나와있는가?', 'O')]"
플로리다가 영국 영토가 된 것은 언제인가?,"[('플로리다', 'CITY'), ('가', 'O'), (' ', 'O'), ('영국', 'COUNTRY'), (' ', 'O'), ('영토가', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('언제인가?', 'O')]"
바젤이 위치한 국가는?,"[('바젤', 'CITY'), ('이', 'O'), (' ', 'O'), ('위치한', 'O'), (' ', 'O'), ('국가는?', 'O')]"
남한군의 도망을 방해한 것은 누가 설치하였나요?,"[('남한군', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('도망을', 'O'), (' ', 'O'), ('방해한', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('누가', 'O'), (' ', 'O'), ('설치하였나요?', 'O')]"
